course title,urls,university
EdD Professional Doctorate in Education,https://uel.ac.uk/postgraduate/courses/edd-professional-doctorate-education,School of Education and Communities
FdA Montessori Pedagogy,https://uel.ac.uk/undergraduate/courses/fda-montessori-pedagogy,School of Education and Communities
FdSc Civil Engineering and Construction Management,https://uel.ac.uk/undergraduate/courses/fdsc-civil-engineering-construction-management,School of Architecture Computing and Engineering
FdSc Nursing Associate,https://uel.ac.uk/undergraduate/courses/fdsc-nursing-associate,School of Health Sport and Bioscience
LLB Hons Business Law,https://uel.ac.uk/undergraduate/courses/llb-hons-business-law,Royal Docks School of Business and Law
LLB Hons Law with Criminology,https://uel.ac.uk/undergraduate/courses/llb-hons-law-criminology,Royal Docks School of Business and Law
LLB Hons Law with International Relations,https://uel.ac.uk/undergraduate/courses/llb-hons-law-international-relations,Royal Docks School of Business and Law
LLB Hons Law,https://uel.ac.uk/undergraduate/courses/llb-hons-law,Royal Docks School of Business and Law
LLM Business and Financial Law,https://uel.ac.uk/postgraduate/courses/llm-business-financial-law,Royal Docks School of Business and Law
LLM Energy and Natural Resources,https://uel.ac.uk/postgraduate/courses/llm-energy-natural-resources,Royal Docks School of Business and Law
LLM FinTech Law,https://uel.ac.uk/postgraduate/courses/llm-fintech-law,Royal Docks School of Business and Law
LLM General,https://uel.ac.uk/postgraduate/courses/llm-general,Royal Docks School of Business and Law
LLM Human Rights Advocacy,https://uel.ac.uk/postgraduate/courses/llm-human-rights-advocacy,Royal Docks School of Business and Law
LLM International Law and Legal Practice,https://uel.ac.uk/postgraduate/courses/llm-international-law-legal-practice,Royal Docks School of Business and Law
LLM Transitional Justice and Conflict,https://uel.ac.uk/postgraduate/courses/llm-transitional-justice-conflict,Royal Docks School of Business and Law
MA Acting for Stage and Screen,https://uel.ac.uk/postgraduate/courses/ma-acting-stage-screen,School of Arts and Creative Industries
MA Acting,https://uel.ac.uk/postgraduate/courses/ma-acting,School of Arts and Creative Industries
MA Applied Theatre,https://uel.ac.uk/postgraduate/courses/ma-applied-theatre,School of Arts and Creative Industries
MA Architecture and Urbanism,https://uel.ac.uk/postgraduate/courses/ma-architecture-and-urbanism,School of Architecture Computing and Engineering
"MA Conflict, Displacement and Human Security",https://uel.ac.uk/postgraduate/courses/ma-conflict-displacement-human-security,School of Education and Communities
MA Contemporary Performance Practices,https://uel.ac.uk/postgraduate/courses/ma-contemporary-performance-practices,School of Arts and Creative Industries
MA Counselling and Psychotherapy,https://uel.ac.uk/postgraduate/courses/ma-counselling-psychotherapy,School of Psychology
MA Creative Enterprise,https://uel.ac.uk/postgraduate/courses/ma-creative-enterprise,School of Arts and Creative Industries
MA Data Journalism,https://uel.ac.uk/postgraduate/courses/ma-data-journalism,School of Arts and Creative Industries
MA Directing for Stage and Screen,https://uel.ac.uk/postgraduate/courses/ma-directing-stage-screen,School of Arts and Creative Industries
MA Early Childhood Leadership and Practice,https://uel.ac.uk/postgraduate/courses/ma-early-childhood-leadership-practice,School of Education and Communities
MA Education,https://uel.ac.uk/postgraduate/courses/ma-education,School of Education and Communities
MA English Language Teaching (Distance Learning),https://uel.ac.uk/postgraduate/courses/ma-english-language-teaching-distance-learning,School of Education and Communities
MA English Language Teaching,https://uel.ac.uk/postgraduate/courses/ma-english-language-teaching,School of Education and Communities
MA Fashion,https://uel.ac.uk/postgraduate/courses/ma-fashion,School of Arts and Creative Industries
MA Filmmaking,https://uel.ac.uk/postgraduate/courses/ma-filmmaking,School of Arts and Creative Industries
MA Fine Art,https://uel.ac.uk/postgraduate/courses/ma-fine-art,School of Architecture Computing and Engineering
MA Global Football Journalism,https://uel.ac.uk/postgraduate/courses/ma-global-football-journalism,School of Arts and Creative Industries
MA Global Learning Futures,https://uel.ac.uk/postgraduate/courses/ma-global-learning-futures,School of Arts and Creative Industries
MA Interior Design,https://uel.ac.uk/postgraduate/courses/ma-interior-design,School of Architecture Computing and Engineering
MA International Fashion Business,https://uel.ac.uk/postgraduate/courses/ma-international-fashion-business,School of Arts and Creative Industries
MA Leadership In Education,https://uel.ac.uk/postgraduate/courses/ma-leadership-education,School of Education and Communities
MA Media and Communication Industries,https://uel.ac.uk/postgraduate/courses/ma-media-communication-industries,School of Arts and Creative Industries
MA Post Qualifying Professional Practice,https://uel.ac.uk/postgraduate/courses/ma-post-qualifying-professional-practice,School of Education and Communities
MA Professional Landscape Architecture with Conversion,https://uel.ac.uk/postgraduate/courses/ma-professional-landscape-architecture-conversion,School of Architecture Computing and Engineering
MA Professional Landscape Architecture,https://uel.ac.uk/postgraduate/courses/ma-professional-landscape-architecture,School of Architecture Computing and Engineering
MA Refugee Studies,https://uel.ac.uk/postgraduate/courses/ma-refugee-studies,School of Education and Communities
MA Social Work,https://uel.ac.uk/postgraduate/courses/ma-social-work,School of Education and Communities
MA Sound and Music for Games,https://uel.ac.uk/postgraduate/courses/ma-sound-music-games,School of Arts and Creative Industries
MA Sound and Music for Media,https://uel.ac.uk/postgraduate/courses/ma-sound-music-media,School of Arts and Creative Industries
MA Sound and Music for Theatre,https://uel.ac.uk/postgraduate/courses/ma-sound-music-theatre,School of Arts and Creative Industries
MA Sound and Music Performance,https://uel.ac.uk/postgraduate/courses/ma-sound-music-performance,School of Arts and Creative Industries
MA Sound and Music Production,https://uel.ac.uk/postgraduate/courses/ma-sound-music-production,School of Arts and Creative Industries
MA Special and Additional Learning Needs (ICEPE),https://uel.ac.uk/postgraduate/courses/ma-special-additional-learning-needs-icepe,School of Education and Communities
MA Special Educational Needs,https://uel.ac.uk/postgraduate/courses/ma-special-educational-needs,School of Education and Communities
MA Theatre Directing,https://uel.ac.uk/postgraduate/courses/ma-theatre-directing,School of Arts and Creative Industries
MA Youth And Community Work,https://uel.ac.uk/postgraduate/courses/ma-youth-community-work,School of Education and Communities
MAccFin (Hons) Accounting and Finance,https://uel.ac.uk/undergraduate/courses/maccfin-hons-accounting-finance,Royal Docks School of Business and Law
MArch Architecture (ARB/RIBA PART 2),https://uel.ac.uk/postgraduate/courses/march-architecture-arbriba-part-2,School of Architecture Computing and Engineering
MBA (Digital Marketing),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-digital-marketing,Royal Docks School of Business and Law
MBA (FinTech),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-fintech-management,Royal Docks School of Business and Law
MBA (Project Management),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-project-management,Royal Docks School of Business and Law
MBA (Supply Chain Management),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-supply-chain-management,Royal Docks School of Business and Law
MBA Business Administration - Entrepreneurship,https://uel.ac.uk/postgraduate/courses/mba-business-administration-entrepreneurship,Royal Docks School of Business and Law
MBA Fashion Entrepreneurship,https://uel.ac.uk/postgraduate/courses/mba-fashion-entrepreneurship,School of Arts and Creative Industries
MBA Master of Business Administration (Business Analytics),https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-business-analytics,Royal Docks School of Business and Law
MBA Master of Business Administration - Sustainable Energy,https://uel.ac.uk/postgraduate/courses/mba-master-business-administration-sustainable-energy,Royal Docks School of Business and Law
MBA Master of Business Administration,https://uel.ac.uk/postgraduate/courses/mba-master-business-administration,Royal Docks School of Business and Law
MEng Civil Engineering (Integrated Masters),https://uel.ac.uk/undergraduate/courses/meng-civil-engineering-integrated-masters,School of Architecture Computing and Engineering
MEng Electrical and Electronic Engineering,https://uel.ac.uk/undergraduate/courses/meng-electrical-electronic-engineering,School of Architecture Computing and Engineering
MEng Mechanical Engineering (Integrated Masters),https://uel.ac.uk/undergraduate/courses/meng-mechanical-engineering-integrated-masters,School of Architecture Computing and Engineering
"MPhil PhD Applied Positive Psychology and Coaching
…",https://uel.ac.uk/postgraduate/courses/mphil-phd-applied-positive-psychology-coaching-psychology,School of Psychology
"MPhil PhD Architecture, Computing and Engineering",https://uel.ac.uk/postgraduate/courses/mphil-phd-architecture-computing-engineering,School of Architecture Computing and Engineering
MPhil PhD Education,https://uel.ac.uk/postgraduate/courses/mphil-phd-education,School of Education and Communities
MPhil PhD Psychology,https://uel.ac.uk/postgraduate/courses/mphil-phd-psychology,School of Psychology
MPhil PhD School of Arts and Creative Industries,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-arts-creative-industries,School of Arts and Creative Industries
MPhil PhD School of Business and Law,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-business-law,Royal Docks School of Business and Law
MPhil PhD School of Health Sport and Bioscience,https://uel.ac.uk/postgraduate/courses/mphil-phd-school-health-sport-bioscience,School of Health Sport and Bioscience
MPhil PhD Social Sciences,https://uel.ac.uk/postgraduate/courses/mphil-phd-social-sciences,School of Education and Communities
"MPhil PhD Sustainability, Development, and the Environment",https://uel.ac.uk/postgraduate/courses/mphil-phd-sustainability-development-environment,Graduate School
MRes Architecture (Reading the Neoliberal City),https://uel.ac.uk/postgraduate/courses/mres-architecture-reading-neoliberal-city,School of Architecture Computing and Engineering
MRes Bioscience,https://uel.ac.uk/postgraduate/courses/mres-bioscience,School of Health Sport and Bioscience
MRes Biosciences and Social Justice,https://uel.ac.uk/postgraduate/courses/mres-biosciences-social-justice,
MRes Business Management and Social Justice,https://uel.ac.uk/postgraduate/courses/mres-business-management-social-justice,Royal Docks School of Business and Law
MRes Health Science,https://uel.ac.uk/postgraduate/courses/mres-health-science,School of Health Sport and Bioscience
MRes Sport and Exercise Science,https://uel.ac.uk/postgraduate/courses/mres-sport-exercise-science,School of Health Sport and Bioscience
MSc AI and Data Science,https://uel.ac.uk/postgraduate/courses/msc-ai-data-science,School of Architecture Computing and Engineering
MSc Applied Positive Psychology (MAPP),https://uel.ac.uk/postgraduate/courses/msc-applied-positive-psychology-mapp,
